date,center_name,attendance_count
2019-06-26,Ammon Community Center,260
2019-06-26,Magee Community Center,15
2019-06-26,Brookline Community Center,45
2019-06-26,Jefferson Community Center,123
2019-06-26,Ormsby Community Center,40
2019-06-26,Paulson Community Center,10
2019-06-26,West Penn Community Center,113
2019-06-25,Warrington Community Center,81
2019-06-25,Phillips Community Center,108
2019-06-25,Ammon Community Center,246
2019-06-25,Jefferson Community Center,68
2019-06-25,Brookline Community Center,47
2019-06-25,Magee Community Center,24
2019-06-25,Ormsby Community Center,33
2019-06-25,Paulson Community Center,4
2019-06-25,West Penn Community Center,69
2019-06-24,Phillips Community Center,117
2019-06-24,Warrington Community Center,74
2019-06-24,Ammon Community Center,265
2019-06-24,Magee Community Center,19
2019-06-24,Brookline Community Center,61
2019-06-24,Jefferson Community Center,159
2019-06-24,Paulson Community Center,11
2019-06-24,Ormsby Community Center,35
2019-06-24,West Penn Community Center,49
2019-06-22,Phillips Community Center,3
2019-06-22,Ammon Community Center,21
2019-06-22,Brookline Community Center,7
2019-06-22,Magee Community Center,2
2019-06-22,West Penn Community Center,48
2019-06-21,Phillips Community Center,62
2019-06-21,Warrington Community Center,58
2019-06-21,Ammon Community Center,83
2019-06-21,Magee Community Center,5
2019-06-21,Brookline Community Center,36
2019-06-21,Jefferson Community Center,53
2019-06-21,Ormsby Community Center,26
2019-06-21,Paulson Community Center,4
2019-06-21,West Penn Community Center,65
2019-06-20,Warrington Community Center,39
2019-06-20,Phillips Community Center,45
2019-06-20,Ammon Community Center,176
2019-06-20,Jefferson Community Center,23
2019-06-20,Brookline Community Center,31
2019-06-20,Paulson Community Center,5
2019-06-20,Ormsby Community Center,21
2019-06-20,West Penn Community Center,51
2019-06-19,Phillips Community Center,95
2019-06-19,Warrington Community Center,19
2019-06-19,Ammon Community Center,228
2019-06-19,Brookline Community Center,38
2019-06-19,Jefferson Community Center,102
2019-06-19,Ormsby Community Center,32
2019-06-19,Paulson Community Center,6
2019-06-19,West Penn Community Center,72
2019-06-18,Warrington Community Center,33
2019-06-18,Phillips Community Center,61
2019-06-18,Ammon Community Center,239
2019-06-18,Jefferson Community Center,109
2019-06-18,Brookline Community Center,60
2019-06-18,Paulson Community Center,11
2019-06-18,Ormsby Community Center,30
2019-06-18,West Penn Community Center,79
2019-06-17,Phillips Community Center,100
2019-06-17,Warrington Community Center,52
2019-06-17,Ammon Community Center,202
2019-06-17,Brookline Community Center,65
2019-06-17,Jefferson Community Center,48
2019-06-17,Ormsby Community Center,42
